PROCEDIMENTO;MNEMÔNICO
EPSTEIN BARR VIRUS ANTICORPOS IGG;EBVG
EPSTEIN BARR VIRUS ANTICORPOS IGM;EBVM
HEPATITE B, ANTICORPO ANTI E (ANTI-HBE);AHBE
HEPATITE B, ANTIGENO E (HBEAG);HBEAG
HTLV I E II ANTICORPOS;HTLV
TIREOGLOBULINA;TIREO
SOROLOGIA PARA CHAGAS;CHAGAS
FERRITINA;FERRIT
ACIDO FOLICO;ACFOLICO
ALFA-FETOPROTEINA;AFP
CORTISOL;CORTISOL
CORTISOL SALIVAR 1 AMOSTRA;CORS1
CORTISOL SALIVAR 2 AMOSTRA;CORS2
CORTISOL SALIVAR 3 AMOSTRA;CORS3
INSULINA 1/3 DOSAGENS;CINS1
INSULINA 1/4 DOSAGENS;CCINS
INSULINA 1/5 DOSAGENS;CCINS1
INSULINA 1/6 DOSAGENS;INSC1
DEHIDROEPIANDROSTERONA SULFATO (SDHEA);SDHEA
ESTRADIOL;ESTRAD
FSH - HORMONIO FOLICULO ESTIMULANTE;FSH
GLOBULINA LIGADORA DE HORMONIOS SEXUAIS - SHBG;SHBG
INSULINA;INSUL
INSULINA POS PRANDIAL;INSUPP
LH - HORMONIO LUTEINIZANTE;LH
PROGESTERONA;PROGEST
PROLACTINA;PRL
PSA - ANTIGENO PROSTATICO ESPECIFICO;PSAT
PSAL - ANTIGENO PROSTATICO ESPECIFICO LIVRE;PSAL
PARATORMONIO (PTH);PTH
T3 T - TRIIODOTIRONINA TOTAL;T3
T4 T- TIROXINA TOTAL;T4
T4 L - TIROXINA LIVRE;T4L
CORTISOL APOS ESTIMULO;CORC4
TESTOSTERONA LIVRE;TESTOL
TESTOSTERONA TOTAL;TESTOT
ANTICORPOS ANTI TIREOGLOBULINA;ACTIREO
ANTICORPOS ANTI TIREOPEROXIDASE (MICROSSOMAL);ANTITPO
TSH - HORMONIO TIREOESTIMULANTE;TSH
VITAMINA B12;B12
25-HIDROXIVITAMINA D (25VD3);VITD25
CITOMEGALOVIRUS ANTICORPOS IGG;CMVG
CITOMEGALOVIRUS ANTICORPOS IGM;CMVM
HEPATITE A ANTICORPO IGG;HAVG
HEPATITE A ANTICORPO IGM;HAVM
HEPATITE B ANTICORPO DE SUPERFICIE (ANTI-HBS);AHBS
HEPATITE B ANTICORPO IGM CONTRA ANTIGENO CENTRAL (ANTI-HBC IGM);AHBCM
HEPATITE B ANTICORPOS TOTAIS CONTRA ANTIGENO CENTRAL (ANTI-HBC);AHBC
HEPATITE B ANTIGENO DE SUPERFICIE (HBSAG);HBSAG
HEPATITE C ANTICORPOS (ANTI-HCV);AHCV
HIV I E II , ANTICORPOS;HIV
IMUNOGLOBULINA E, SANGUE;IGE
IMUNOGLOBULINA G, SANGUE;IGG
IMUNOGLOBULINA M, SANGUE;IGM
RUBEOLA ANTICORPOS IGG;RUBG
RUBEOLA ANTICORPOS IGM;RUBM
SIFILIS SOROLOGIA;SIFILIS
TOXOPLASMOSE ANTICORPOS IGG;TOXOG
TOXOPLASMOSE ANTICORPOS IGM;TOXOM
INSULINA POS DEXTROSOL;INSUPD
CORTISOL 2 AMOSTRA;CORT2
CORTISOL 3 AMOSTRA;CORT3
CORTISOL 4 AMOSTRA;CORT4
CORTISOL 5 AMOSTRA;CORT5
CORTISOL SALIVAR 4 AMOSTRA;CORS4
CORTISOL SALIVAR 5 AMOSTRA;CORS5
CORTISOL 5 DOSAGENS;CORT5D
INSULINA 2;INS2
INSULINA 3;INS3
INSULINA 4;INS4
INSULINA 5;INS5
INSULINA 6;INS6
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
