Procedimento;Mnemônico
ADENOSINA DEAMINASE (ADA), SANGUE;ADAS
PEPTIDIO NATRIURETICO TIPO B;BNP
HOMOCISTEINA;HOMOCIST
PRO-CALCITONINA;PROCAL
ACIDO LACTICO - LACTATO;ALAS
ACIDO URICO, SANGUE;ACURICS
ALANINA AMINO TRANSFERASE (TGP);TGP
ALBUMINA, SANGUE;ALBUMS
AMILASE, SANGUE;AMILAS
ASPARTATO AMINO TRANSFERASE (TGO);TGO
BILIRRUBINA TOTAL E FRACOES, SANGUE;BILITS
CALCIO, SANGUE;CAS
CAPACIDADE TOTAL DE LIGACAO DE FERRO;CTLF
CLEARANCE DE CREATININA, URINA 12 HORAS;CCREAT12
CLEARANCE DE CREATININA, URINA 24 HORAS;CCREAT24
CLORO, SANGUE;CL
COLESTEROL HDL;HDL
COLESTEROL LDL;LDL
COLESTEROL TOTAL, LIQUIDOS;COLTL
COLESTEROL TOTAL, SANGUE;COLTS
CREATININA, SANGUE;CREATS
CREATINOFOSFOQUINASE (CPK);CPK
GLICEMIA;GLI1
GLICOSE 1/ 4 DOSAGENS;GLIC1/4
GLICOSE 1/5 DOSAGENS;GLIC1/5
GLICOSE 1/6 DOSAGENS;GLIC1/6
DESIDROGENASE LACTICA, SANGUE;LDH
FERRO;FE
FOSFATASE ALCALINA, SANGUE;FALS
FOSFORO, SANGUE;P
GAMA GLUTAMIL TRANSFERASE;GGT
GLICOSE, PLASMA;GLICP
GLICOSE, SORO;GLICS
GLICOSE POS DEXTROSOL, SORO;GLICPDS
GLICOSE POS PRANDIAL, SORO;GLICPPS
LIPASE;LIPASE
MAGNESIO, SANGUE;MGS
POTASSIO, SANGUE;K
PROTEINA C REATIVA;PCR
PROTEINAS TOTAIS, LIQUOR;PROTTLQ
PROTEINAS TOTAIS, SANGUE;PROTTS
PROTEINAS TOTAIS E FRACOES;PROTF
SODIO, SANGUE;NA
TESTE DE TOLERANCIA A LACTOSE;TTL
TRIGLICERIDEOS, SANGUE;TRIG
UREIA, SANGUE;UREIA
UREIA POS DIALISE;UREPOS
UREIA PRE DIALISE;UREPRE
CA 125;CA125
CA 15.3;CA153
CA 19.9;CA19.9
CEA - ANTIGENO CARCINOEMBRIONARIO;CEA
CREATINOFOSFOQUINASE FRACAO MB;CKMB
COMPLEMENTO C3;C3
COMPLEMENTO C4;C4
ANTIESTREPTOLISINA O (ASLO);ASLO
FATOR REUMATOIDE;FR
IMUNOGLOBULINA A, SANGUE;IGA
IMUNOGLOBULINA G, SANGUE;IGG
IMUNOGLOBULINA M, SANGUE;IGM
GLICOSE POS DEXTROSOL, PLASMA;GLICPDP
GLICOSE POS PRANDIAL, PLASMA;GLICPPP
COLESTEROL TOTAL E FRACOES, SANGUE;COLTFS
GLICOSE 2;GLI2
GLICOSE 3;GLI3
GLICOSE 4;GLI4
GLICOSE 5;GLI5
GLICOSE 6;GLI6
CC TROPONINA 1ª AMOSTRA;TROPT1
CC TROPONINA 2ª AMOSTRA;TROP2
GLICOSE 1/ 3 DOSAGENS;GLIC1/3
ACIDO LACTICO - LACTATO (SEPSE);LACTSEP
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
