Mnemônico,Andamento,Resp.,Cód. Shift,Cód. MV,Observação,Arquivo,Data de criação,Campo,Requerente
DOEIMU,Finalizada,Pedro,2369,2490,,,"June 18, 2026 7:48 AM",Livre,Ana Paula Galdiano
COQ10,Finalizada,Kauã,312,2203,,,"June 17, 2026 11:08 AM",Formatado,APOIO Manoella
PEPI,Finalizada,Pedro,2370,1615,,,"June 17, 2026 10:26 AM",Livre,APOIO Ana Paula
C3,Finalizada,Pedro,1557,590,,,"June 17, 2026 10:17 AM",Formatado,APOIO Manoella
VIT125,Finalizada,Pedro,1319,1406 / 4371,,,"June 17, 2026 8:09 AM",Formatado,APOIO Manoella
CBFB,Finalizada,Pedro,2368,1296,,,"June 15, 2026 9:16 AM",Livre,APOIO Manoella
M1,Finalizada,Pedro,823,1624 / 4370,,,"June 15, 2026 8:12 AM",Formatado,APOIO Manoella
DEMPARK,Finalizada,"Kauã, Pedro",2280,2488,Fleury / inativo MV,,"June 12, 2026 1:33 PM",Livre,APOIO Ana Paula
LIPODIS,Finalizada,"Kauã, Pedro",2322,2489,Fleury / inativo MV,,"June 12, 2026 1:31 PM",Livre,APOIO Ana Paula
BCRT315I,Finalizada,Pedro,2091,1559,,,"June 12, 2026 8:54 AM",Livre,APOIO Manoella
EBETV1,Finalizada,Pedro,2367,2487,,,"June 9, 2026 1:44 PM",Formatado,APOIO Manoella
OSMOUR,Finalizada,Pedro,1798,1870 / 4368,,,"June 9, 2026 8:36 AM",Formatado,APOIO Manoella
PQUINASE,Finalizada,Pedro,1138,2247 / 4633,,,"June 3, 2026 8:08 AM",Formatado,APOIO Manoella
SDHEA,Finalizada,Pedro,1573,599 /4365,,,"June 1, 2026 1:55 PM",Formatado,APOIO Manoella
ANFETUR,Finalizada,Pedro,2365,80,,,"June 1, 2026 1:53 PM",Livre,APOIO Manoella
GX1,Finalizada,Pedro,909,1459,"Pardini, não padrão",,"May 28, 2026 12:12 PM",Formatado,APOIO Manoella
ELETROLP,Finalizada,Pedro,396,2249 / 4367,,,"May 28, 2026 11:51 AM",Formatado,APOIO Manoella
OSTIMP,Finalizada,Pedro,2364,2481,,,"May 28, 2026 9:17 AM",Livre,APOIO Ana Paula
GX3,Finalizada,Pedro,911,2485 / 4362,,,"May 28, 2026 9:16 AM",Formatado,APOIO Ana Paula
AHCV - AHBC,Finalizada,"Kauã, Pedro",1630,,"Adicionar campos não obrigatórios no laudo de AHBC, como estão no AHCV",,"May 25, 2026 9:23 AM",Formatado,Jean Dias
FISH,Finalizada,Pedro,2349,2482,,,"May 18, 2026 2:24 PM",Livre,Ana Paula Galdiano
WHTLV,Finalizada,Pedro,615,2483 / 4358,,,"May 14, 2026 11:29 AM",Formatado,Ana Paula Galdiano
AAPLA,Finalizada,Pedro,2203,2363,,,"May 13, 2026 9:41 AM",Formatado,APOIO Ana Paula
CROMOGA,Finalizada,Pedro,348,1361 / 4356,,,"May 12, 2026 10:29 AM",Formatado,APOIO Ana Paula
INV16,Finalizada,Pedro,2345,2475,e-mail PCR QUANTITATIVO PARA INVERSÃO CROMOSSOMO 16,,"May 8, 2026 7:49 AM",Livre,Ana Paula Galdiano
CULTHPYL,Finalizada,Pedro,2344,2480,,,"May 7, 2026 11:06 AM",Livre,Ana Paula Galdiano
KAPLEVEU,Finalizada,Pedro,959,2007 / 4349,,,"May 5, 2026 2:10 PM",Formatado,
C388,Finalizada,Pedro,2061,1547/4348,,,"May 4, 2026 3:20 PM",Formatado,
HMULL,Finalizada,Pedro,608,2042/4346,,,"May 4, 2026 3:13 PM",Formatado,
DSTMULTI,Finalizada,Pedro,1846,1989/4336,,,"May 4, 2026 2:31 PM",Formatado,
ASPERGILUS,Finalizada,Pedro,154,1421,,,"May 4, 2026 10:55 AM",Formatado,
F83,Finalizada,Pedro,737,2263 / 4344,,,"May 4, 2026 8:13 AM",Formatado,
3AANDROG,Finalizada,Pedro,15,2115,e-mail,,"May 4, 2026 7:45 AM",Formatado,
RCC,Finalizada,Pedro,1459,2467 / 4343,,,"April 30, 2026 8:12 AM",Formatado,
Metil. Russell P.G.,Em progresso,Pedro,,,Painel genético pardini. Esperando informações,,"April 29, 2026 1:30 PM",,
HDVM,Finalizada,Pedro,556,2479/4345,ESPERANDO CRIAÇÃO NO MV,,"April 29, 2026 1:30 PM",Formatado,
PGPARAES,Finalizada,Pedro,2342,2478 / CV,,,"April 29, 2026 11:07 AM",Livre,
APOB,Finalizada,Pedro,147,1894,,,"April 27, 2026 2:59 PM",Formatado,
PRPRIBO,Finalizada,Pedro,110,1295 / CV,,,"April 27, 2026 2:04 PM",Livre,
PTCRUS,Finalizada,Pedro,1165,1460 / 4342,,,"April 27, 2026 2:04 PM",Formatado,
SUOR,Finalizada,Pedro,1819,63,,https://drive.google.com/file/d/1c12dBirQARjQOp9l-PLYKFjlmskz0-fj/view?usp=drive_link,"April 24, 2026 11:23 AM",Formatado,
DSTURINA,Finalizada,Pedro,,,,https://drive.google.com/file/d/1Ei5b61ix15Sx0Bc33jBnZ0OX_LaeQSRV/view?usp=drive_link,"April 23, 2026 1:11 PM",Formatado,
ASPERGAC,Finalizada,Pedro,1833,1903,,,"April 23, 2026 1:11 PM",Formatado,
AASPER,Finalizada,Pedro,1421,154,,,"April 23, 2026 1:11 PM",Formatado,
F81,Finalizada,"Kauã, Pedro",836,1706/4335,,PREVISUALIZACAO_67677.51369.996621746.pdf,"April 17, 2026 2:14 PM",Formatado,
VITE,Finalizada,Pedro,1320,2152/4334,,https://drive.google.com/file/d/1IchwUJJDCP97a-Vd9f0Cecv5U4wt60Sf/view?usp=drive_link,"April 17, 2026 1:18 PM",Formatado,
VITA,Finalizada,Pedro,1311,473/4333,,https://drive.google.com/file/d/11S3Na3VLvgFpE8Her66BItj9jLHk3Tmg/view?usp=drive_link,"April 17, 2026 1:17 PM",Formatado,
CITU24,Finalizada,Pedro,289,1332/4332,,https://drive.google.com/file/d/1sE6svDmzYkbwikINBgS2ZrSYBXd1zxoo/view?usp=drive_link,"April 17, 2026 11:17 AM",Formatado,
